word,total_score,appeared_times,averange_score
解释,257,77,3.3377
没法,219,77,2.8442
太空,257,77,3.3377
全部,237,77,3.0779
情怀,239,77,3.1039
了漫,257,76,3.3816
武器,239,76,3.1447
致敬,267,76,3.5132
普通,220,76,2.8947
严重,190,76,2.5
预告,238,76,3.1316
喜剧片,246,76,3.2368
硬伤,212,75,2.8267
電影,239,75,3.1867
从头到尾,218,75,2.9067
模式,242,75,3.2267
看不懂,187,75,2.4933
家庭,230,75,3.0667
追车,244,75,3.2533
爆炸,264,74,3.5676
勉强,209,74,2.8243
冬兵,270,74,3.6486
尿点,232,74,3.1351
玩意,148,74,2
到位,261,74,3.527
斗篷,262,74,3.5405
不同,238,73,3.2603
热血,259,73,3.5479
文化,216,73,2.9589
牵强,210,73,2.8767
国王,226,73,3.0959
葬礼,271,73,3.7123
出色,263,72,3.6528
心情,243,72,3.375
过程,208,72,2.8889
神马,225,72,3.125
牺牲,243,72,3.375
打戏,239,72,3.3194
导致,197,72,2.7361
失败,188,71,2.6479
貌似,243,71,3.4225
怀旧,230,71,3.2394
小萝卜,245,71,3.4507
路线,240,71,3.3803
票价,239,71,3.3662
彻底,203,71,2.8592
格局,231,71,3.2535
宏大,250,71,3.5211
寡姐,243,71,3.4225
预期,254,71,3.5775
女王,244,71,3.4366
符合,242,70,3.4571
最爱,266,70,3.8
大杂烩,189,70,2.7
好听,238,70,3.4
说好,219,70,3.1286
复活,215,70,3.0714
时代,207,69,3
基本上,198,69,2.8696
好帅,257,69,3.7246
升级,222,69,3.2174
内涵,214,69,3.1014
肉搏,204,69,2.9565
女儿,210,69,3.0435
大法,258,69,3.7391
青春片,234,69,3.3913
选择,234,68,3.4412
主演,222,68,3.2647
敌人,217,68,3.1912
等到,249,68,3.6618
质量,200,68,2.9412
很爽,236,67,3.5224
欣赏,190,67,2.8358
完整,235,67,3.5075
特工,229,67,3.4179
故事情节,196,67,2.9254
干嘛,187,67,2.791
银护,234,67,3.4925
值得一看,239,66,3.6212
迷人,248,66,3.7576
思考,220,66,3.3333
不怎么,186,66,2.8182
影响,220,66,3.3333
比如,205,66,3.1061
打打,175,66,2.6515
方式,185,66,2.803
睡觉,156,66,2.3636
妈妈,214,66,3.2424
丰满,235,65,3.6154
认真,190,65,2.9231
国家,199,65,3.0615
原著,218,65,3.3538
怪物,191,65,2.9385
特供,202,65,3.1077
拍出,222,65,3.4154
白人,190,65,2.9231
平淡,186,64,2.9062
讨喜,216,64,3.375
看漫,178,64,2.7812
奇观,201,64,3.1406
响指,231,64,3.6094
能量,210,63,3.3333
年轻,226,63,3.5873
惊奇,216,63,3.4286
花瓶,184,63,2.9206
颜值,191,63,3.0317
老爷子,222,63,3.5238
神秘,197,63,3.127
美术,214,63,3.3968
生命,218,62,3.5161
打败,180,62,2.9032
感冒,166,62,2.6774
复仇,209,62,3.371
